date,close
2021-04-23T13:30:00,416.739990234375
2021-04-26T13:30:00,417.6099853515625
2021-04-27T13:30:00,417.5199890136719
2021-04-28T13:30:00,417.3999938964844
2021-04-29T13:30:00,420.05999755859375
2021-04-30T13:30:00,417.29998779296875
2021-05-03T13:30:00,418.20001220703125
2021-05-04T13:30:00,415.6199951171875
2021-05-05T13:30:00,415.75
2021-05-06T13:30:00,419.07000732421875
2021-05-07T13:30:00,422.1199951171875
2021-05-10T13:30:00,417.94000244140625
2021-05-11T13:30:00,414.2099914550781
2021-05-12T13:30:00,405.4100036621094
2021-05-13T13:30:00,410.2799987792969
2021-05-14T13:30:00,416.5799865722656
2021-05-17T13:30:00,415.5199890136719
2021-05-18T13:30:00,411.94000244140625
2021-05-19T13:30:00,410.8599853515625
2021-05-20T13:30:00,415.2799987792969
2021-05-21T13:30:00,414.94000244140625
2021-05-24T13:30:00,419.1700134277344
2021-05-25T13:30:00,418.239990234375
2021-05-26T13:30:00,419.07000732421875
2021-05-27T13:30:00,419.2900085449219
2021-05-28T13:30:00,420.0400085449219
2021-06-01T13:30:00,419.6700134277344
2021-06-02T13:30:00,420.3299865722656
2021-06-03T13:30:00,418.7699890136719
2021-06-04T13:30:00,422.6000061035156
2021-06-07T13:30:00,422.19000244140625
2021-06-08T13:30:00,422.2799987792969
2021-06-09T13:30:00,421.6499938964844
2021-06-10T13:30:00,423.6099853515625
2021-06-11T13:30:00,424.30999755859375
2021-06-14T13:30:00,425.260009765625
2021-06-15T13:30:00,424.4800109863281
2021-06-16T13:30:00,422.1099853515625
2021-06-17T13:30:00,421.9700012207031
2021-06-18T13:30:00,414.9200134277344
2021-06-21T13:30:00,420.8599853515625
2021-06-22T13:30:00,423.1099853515625
2021-06-23T13:30:00,422.6000061035156
2021-06-24T13:30:00,425.1000061035156
2021-06-25T13:30:00,426.6099853515625
2021-06-28T13:30:00,427.4700012207031
2021-06-29T13:30:00,427.70001220703125
2021-06-30T13:30:00,428.05999755859375
2021-07-01T13:30:00,430.42999267578125
2021-07-02T13:30:00,433.7200012207031
2021-07-06T13:30:00,432.92999267578125
2021-07-07T13:30:00,434.4599914550781
2021-07-08T13:30:00,430.9200134277344
2021-07-09T13:30:00,435.5199890136719
2021-07-12T13:30:00,437.0799865722656
2021-07-13T13:30:00,435.5899963378906
2021-07-14T13:30:00,436.239990234375
2021-07-15T13:30:00,434.75
2021-07-16T13:30:00,431.3399963378906
2021-07-19T13:30:00,424.9700012207031
2021-07-20T13:30:00,431.05999755859375
2021-07-21T13:30:00,434.54998779296875
2021-07-22T13:30:00,435.4599914550781
2021-07-23T13:30:00,439.94000244140625
2021-07-26T13:30:00,441.0199890136719
2021-07-27T13:30:00,439.010009765625
2021-07-28T13:30:00,438.8299865722656
2021-07-29T13:30:00,440.6499938964844
2021-07-30T13:30:00,438.510009765625
2021-08-02T13:30:00,437.5899963378906
2021-08-03T13:30:00,441.1499938964844
2021-08-04T13:30:00,438.9800109863281
2021-08-05T13:30:00,441.760009765625
2021-08-06T13:30:00,442.489990234375
2021-08-09T13:30:00,442.1300048828125
2021-08-10T13:30:00,442.67999267578125
2021-08-11T13:30:00,443.7799987792969
2021-08-12T13:30:00,445.1099853515625
2021-08-13T13:30:00,445.9200134277344
2021-08-16T13:30:00,446.9700012207031
2021-08-17T13:30:00,444.0400085449219
2021-08-18T13:30:00,439.17999267578125
2021-08-19T13:30:00,439.8599853515625
2021-08-20T13:30:00,443.3599853515625
2021-08-23T13:30:00,447.260009765625
2021-08-24T13:30:00,447.9700012207031
2021-08-25T13:30:00,448.9100036621094
2021-08-26T13:30:00,446.260009765625
2021-08-27T13:30:00,450.25
2021-08-30T13:30:00,452.2300109863281
2021-08-31T13:30:00,451.55999755859375
2021-09-01T13:30:00,451.79998779296875
2021-09-02T13:30:00,453.19000244140625
2021-09-03T13:30:00,453.0799865722656
2021-09-07T13:30:00,451.4599914550781
2021-09-08T13:30:00,450.9100036621094
2021-09-09T13:30:00,448.9800109863281
2021-09-10T13:30:00,445.44000244140625
2021-09-13T13:30:00,446.5799865722656
2021-09-14T13:30:00,444.1700134277344
2021-09-15T13:30:00,447.8800048828125
2021-09-16T13:30:00,447.1700134277344
2021-09-17T13:30:00,441.3999938964844
2021-09-20T13:30:00,434.0400085449219
2021-09-21T13:30:00,433.6300048828125
2021-09-22T13:30:00,437.8599853515625
2021-09-23T13:30:00,443.17999267578125
2021-09-24T13:30:00,443.9100036621094
2021-09-27T13:30:00,442.6400146484375
2021-09-28T13:30:00,433.7200012207031
2021-09-29T13:30:00,434.45001220703125
2021-09-30T13:30:00,429.1400146484375
2021-10-01T13:30:00,434.239990234375
2021-10-04T13:30:00,428.6400146484375
2021-10-05T13:30:00,433.1000061035156
2021-10-06T13:30:00,434.8999938964844
2021-10-07T13:30:00,438.6600036621094
2021-10-08T13:30:00,437.8599853515625
2021-10-11T13:30:00,434.69000244140625
2021-10-12T13:30:00,433.6199951171875
2021-10-13T13:30:00,435.17999267578125
2021-10-14T13:30:00,442.5
2021-10-15T13:30:00,445.8699951171875
2021-10-18T13:30:00,447.19000244140625
2021-10-19T13:30:00,450.6400146484375
2021-10-20T13:30:00,452.4100036621094
2021-10-21T13:30:00,453.5899963378906
2021-10-22T13:30:00,453.1199951171875
2021-10-25T13:30:00,455.54998779296875
2021-10-26T13:30:00,455.9599914550781
2021-10-27T13:30:00,453.94000244140625
2021-10-28T13:30:00,458.32000732421875
2021-10-29T13:30:00,459.25
2021-11-01T13:30:00,460.0400085449219
2021-11-02T13:30:00,461.8999938964844
2021-11-03T13:30:00,464.7200012207031
2021-11-04T13:30:00,466.9100036621094
2021-11-05T13:30:00,468.5299987792969
2021-11-08T14:30:00,468.92999267578125
2021-11-09T14:30:00,467.3800048828125
